Country,100m(s),200m(s),400m(s),800m(min),1500m(min),3000m(min),Marathon
Argentina,11.57,22.94,52.5,2.05,4.25,9.19,150.32
Australia,11.12,22.23,48.63,1.98,4.02,8.63,143.51
Austria,11.15,22.7,50.62,1.94,4.05,8.78,154.35
Belgium,11.14,22.48,51.45,1.97,4.08,8.82,143.05
Bermuda,11.46,23.05,53.3,2.07,4.29,9.81,174.18
Brazil,11.17,22.6,50.62,1.97,4.17,9.04,147.41
Canada,10.98,22.62,49.91,1.97,4,8.54,148.36
Chile,11.65,23.84,53.68,2,4.22,9.26,152.23
China,10.79,22.01,49.81,1.93,3.84,8.1,139.39
Columbia,11.31,22.92,49.64,2.04,4.34,9.37,155.19
Cook Islands,12.52,25.91,61.65,2.28,4.82,11.1,212.33
Costa Rica,11.72,23.92,52.57,2.1,4.52,9.84,164.33
Czech Republic,11.09,21.97,47.99,1.89,4.03,8.87,145.19
Denmark,11.42,23.36,52.92,2.02,4.12,8.71,149.34
Domincan Republic,11.63,23.91,53.02,2.09,4.54,9.89,166.46
Finland,11.13,22.39,50.14,2.01,4.1,8.69,148
France,10.73,21.99,48.25,1.94,4.03,8.64,148.27
Germany,10.81,21.71,47.6,1.92,3.96,8.51,141.45
Great Britian,11.1,22.1,49.43,1.94,3.97,8.37,135.25
Greece,10.83,22.67,50.56,2,4.09,8.96,153.4
Guatemala,11.92,24.5,55.64,2.15,4.48,9.71,171.33
Hungary,11.41,23.06,51.5,1.99,4.02,8.55,148.5
India,11.56,23.86,55.08,2.1,4.36,9.5,154.29
Indonesia,11.38,22.82,51.05,2,4.1,9.11,158.1
Ireland,11.43,23.02,51.07,2.01,3.98,8.36,142.23
Israel,11.45,23.15,52.06,2.07,4.24,9.33,156.36
Italy,11.14,22.6,51.31,1.96,3.98,8.59,143.47
Japan,11.36,23.33,51.93,2.01,4.16,8.74,139.41
Kenya,11.62,23.37,51.56,1.97,3.96,8.39,138.47
"Korea, South",11.49,23.8,53.67,2.09,4.24,9.01,146.12
"Korea, North",11.8,25.1,56.23,1.97,4.25,8.96,145.31
Luxembourg,11.76,23.96,56.07,2.07,4.35,9.21,149.23
Malaysia,11.5,23.37,52.56,2.12,4.39,9.31,169.28
Mauritius,11.72,23.83,54.62,2.06,4.33,9.24,167.09
Mexico,11.09,23.13,48.89,2.02,4.19,8.89,144.06
Myanmar(Burma),11.66,23.69,52.96,2.03,4.2,9.08,158.42
Netherlands,11.08,22.81,51.35,1.93,4.06,8.57,143.43
New Zealand,11.32,23.13,51.6,1.97,4.1,8.76,146.46
Norway,11.41,23.31,52.45,2.03,4.01,8.53,141.06
Papua New Guinea,11.96,24.68,55.18,2.24,4.62,10.21,221.14
Philippines,11.28,23.35,54.75,2.12,4.41,9.81,165.48
Poland,10.93,22.13,49.28,1.95,3.99,8.53,144.18
Portugal,11.3,22.88,51.92,1.98,3.96,8.5,143.29
Romania,11.3,22.35,49.88,1.92,3.9,8.36,142.5
Russia,10.77,21.87,49.11,1.91,3.87,8.38,141.31
Samoa,12.38,25.45,56.32,2.29,5.42,13.12,191.58
Singapore,12.13,24.54,55.08,2.12,4.52,9.94,154.41
Spain,11.06,22.38,49.67,1.96,4.01,8.48,146.51
Sweden,11.16,22.82,51.69,1.99,4.09,8.81,150.39
Switzerland,11.34,22.88,51.32,1.98,3.97,8.6,145.51
Taiwan,11.22,22.56,52.74,2.08,4.38,9.63,159.53
Thailand,11.33,23.3,52.6,2.06,4.38,10.07,162.39
Turkey,11.25,22.71,53.15,2.01,3.92,8.53,151.43
U.S.A.,10.49,21.34,48.83,1.94,3.95,8.43,141.16